Country,Year,Series,Population
China,2010,Population mid-year estimates (millions),"1,348.19"
China,2015,Population mid-year estimates (millions),"1,393.72"
China,2021,Population mid-year estimates (millions),"1,425.89"
China,2022,Population mid-year estimates (millions),"1,425.89"
India,2010,Population mid-year estimates (millions),"1,240.61"
India,2015,Population mid-year estimates (millions),"1,322.87"
India,2021,Population mid-year estimates (millions),"1,407.56"
India,2022,Population mid-year estimates (millions),"1,417.17"
Indonesia,2010,Population mid-year estimates (millions),244.02
Indonesia,2015,Population mid-year estimates (millions),259.09
Indonesia,2021,Population mid-year estimates (millions),273.75
Indonesia,2022,Population mid-year estimates (millions),275.5
United States of America,2010,Population mid-year estimates (millions),311.18
United States of America,2015,Population mid-year estimates (millions),324.61
United States of America,2021,Population mid-year estimates (millions),337
United States of America,2022,Population mid-year estimates (millions),338.29